Symbol,Security,GICS Sector,GICS Sub-Industry,Date first added
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03
AMT,American Tower Corp.,Real Estate,Specialized REITs,2007-11-19
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28
ANSS,ANSYS,Information Technology,Application Software,2017-06-19
ANTM,Anthem,Health Care,Managed Health Care,2002-07-25
AON,Aon plc,Financials,Insurance Brokers,1996-04-23
AOS,A.O. Smith Corp,Industrials,Building Products,2017-07-26
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30
APH,Amphenol Corp,Information Technology,Electronic Components,2008-09-30
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,2012-12-24
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31
AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10
AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08
AVY,Avery Dennison Corp,Materials,Paper Packaging,1987-12-31
AWK,American Water Works Company Inc,Utilities,Water Utilities,2016-03-04
AXP,American Express Co,Financials,Consumer Finance,1976-06-30
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,1997-01-02
BA,Boeing Company,Industrials,Aerospace & Defense,1957-03-04
BAC,Bank of America Corp,Financials,Diversified Banks,1976-06-30
BAX,Baxter International Inc.,Health Care,Health Care Equipment,1972-09-30
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,1999-06-29
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,1982-10-31
BIIB,Biogen Inc.,Health Care,Biotechnology,2003-11-13
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,2020-06-22
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,1995-03-31
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,2017-07-07
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04
BLL,Ball Corp,Materials,Metal & Glass Containers,1984-10-31
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,1957-03-04
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018-06-18
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19
BXP,Boston Properties,Real Estate,Office REITs,2006-04-03
C,Citigroup Inc.,Financials,Diversified Banks,1988-05-31
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,1997-05-27
CARR,Carrier Global,Industrials,Building Products,2020-04-03
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957-03-04
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01
CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,2012-03-14
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22
CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18
CDW,CDW,Information Technology,Technology Distributors,2019-09-23
CE,Celanese,Materials,Specialty Chemicals,2018-12-24
CERN,Cerner,Health Care,Health Care Technology,2010-04-30
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,2008-08-27
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,2007-03-02
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08
CI,CIGNA Corp.,Health Care,Managed Health Care,1976-06-30
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04
CLX,The Clorox Company,Consumer Staples,Household Products,1969-03-31
CMA,Comerica Inc.,Financials,Diversified Banks,1995-12-01
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,2002-11-19
CME,CME Group Inc.,Financials,Financial Exchanges & Data,2006-08-11
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28
CMI,Cummins Inc.,Industrials,Industrial Machinery,1965-03-31
CMS,CMS Energy,Utilities,Multi-Utilities,1999-05-03
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31
COF,Capital One Financial,Financials,Consumer Finance,1998-07-01
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,2008-06-23
COO,The Cooper Companies,Health Care,Health Care Supplies,2016-09-23
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,1993-10-01
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,1957-03-04
CPRT,Copart Inc,Industrials,Diversified Support Services,2018-07-02
CRM,Salesforce.com,Information Technology,Application Software,2008-09-15
CSCO,Cisco Systems,Information Technology,Communications Equipment,1993-12-01
CSX,CSX Corp.,Industrials,Railroads,1967-09-30
CTAS,Cintas Corporation,Industrials,Diversified Support Services,2001-03-01
CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,2006-11-17
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03
CTXS,Citrix Systems,Information Technology,Application Software,1999-12-01
CVS,CVS Health,Health Care,Health Care Services,1957-03-04
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,1957-03-04
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2016-02-22
D,Dominion Energy,Utilities,Electric Utilities,
DAL,Delta Air Lines Inc.,Industrials,Airlines,2013-09-11
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,2019-04-02
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1957-03-04
DFS,Discover Financial Services,Financials,Consumer Finance,2007-07-02
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03
DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2005-06-22
DHR,Danaher Corp.,Health Care,Health Care Equipment,
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1976-06-30
DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,2010-03-01
DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,2014-08-07
DISH,Dish Network,Communication Services,Cable & Satellite,2017-03-13
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,2016-05-18
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19
DOV,Dover Corporation,Industrials,Industrial Machinery,1985-10-31
DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,2020-05-12
DRE,Duke Realty Corp,Real Estate,Industrial REITs,2017-07-26
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,
DTE,DTE Energy Co.,Utilities,Multi-Utilities,1957-03-04
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04
DXCM,DexCom,Health Care,Health Care Equipment,2020-05-12
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1989-01-31
ED,Consolidated Edison,Utilities,Electric Utilities,
EFX,Equifax Inc.,Industrials,Research & Consulting Services,1997-06-19
EIX,Edison Int'l,Utilities,Electric Utilities,1957-03-04
EL,Estée Lauder Companies,Consumer Staples,Personal Products,2006-01-05
EMN,Eastman Chemical,Materials,Diversified Chemicals,1994-01-01
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,1965-03-31
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02
EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20
EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03
ES,Eversource Energy,Utilities,Multi-Utilities,
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,2014-04-02
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,
ETR,Entergy Corp.,Utilities,Electric Utilities,1957-03-04
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21
EVRG,Evergy,Utilities,Electric Utilities,2018-06-05
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01
EXC,Exelon Corp.,Utilities,Multi-Utilities,1957-03-04
EXPD,Expeditors,Industrials,Air Freight & Logistics,2007-10-10
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03
FAST,Fastenal Co,Industrials,Building Products,2008-09-15
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,2013-12-23
FBHS,Fortune Brands Home & Security,Industrials,Building Products,2016-06-22
FCX,Freeport-McMoRan Inc.,Materials,Copper,
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1980-12-31
FE,FirstEnergy Corp,Utilities,Electric Utilities,
FFIV,F5 Networks,Information Technology,Communications Equipment,2010-12-20
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,2006-11-10
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,2001-04-02
FITB,Fifth Third Bancorp,Financials,Regional Banks,
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,2009-01-02
FLS,Flowserve Corporation,Industrials,Industrial Machinery,2008-10-02
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,2018-06-20
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009-08-19
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01
FRC,First Republic Bank,Financials,Regional Banks,2019-01-02
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2016-02-01
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,2009-06-05
FTNT,Fortinet,Information Technology,Systems Software,2018-10-11
FTV,Fortive Corp,Industrials,Industrial Machinery,2016-07-01
GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04
GE,General Electric,Industrials,Industrial Conglomerates,
GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31
GL,Globe Life Inc.,Financials,Life & Health Insurance,1989-04-30
GLW,Corning Inc.,Information Technology,Electronic Components,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,2016-04-25
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,1986-08-31
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,2012-12-12
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,2002-07-22
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,1981-06-30
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,1957-03-04
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1984-09-30
HBAN,Huntington Bancshares,Financials,Regional Banks,
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-03-20
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,2018-06-18
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,1957-03-04
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1964-03-31
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,2009-03-04
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1957-03-04
HUM,Humana Inc.,Health Care,Managed Health Care,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,1957-03-04
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,2017-01-05
IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2015-11-19
INCY,Incyte,Health Care,Biotechnology,2017-02-28
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,2017-06-02
INTC,Intel Corp.,Information Technology,Semiconductors,1976-12-31
INTU,Intuit Inc.,Information Technology,Application Software,2000-12-05
IP,International Paper,Materials,Paper Packaging,1957-03-04
IPG,Interpublic Group,Communication Services,Advertising,1992-10-01
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,2018-03-07
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,2017-08-29
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,2009-01-06
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,2008-06-02
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,2017-04-05
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,2008-08-21
J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,2015-07-01
JCI,Johnson Controls International,Industrials,Building Products,2010-08-27
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,1975-06-30
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,
KEY,KeyCorp,Financials,Regional Banks,1994-03-01
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,2010-06-28
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,1957-03-04
KR,Kroger Co.,Consumer Staples,Food Retail,1957-03-04
KSU,Kansas City Southern,Industrials,Railroads,2013-05-24
L,Loews Corp.,Financials,Multi-line Insurance,
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1983-09-30
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,2019-08-09
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,2005-10-04
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,2004-11-01
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,
LIN,Linde plc,Materials,Industrial Gases,1992-07-01
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,1970-12-31
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,1984-07-31
LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30
LNT,Alliant Energy Corp,Utilities,Electric Utilities,2016-07-01
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,1984-02-29
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,2018-12-03
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,2008-07-18
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
MAS,Masco Corp.,Industrials,Building Products,1981-06-30
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,1970-06-30
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07
MCK,McKesson Corp.,Health Care,Health Care Distributors,
MCO,Moody's Corp,Financials,Financial Exchanges & Data,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02
MDT,Medtronic plc,Health Care,Health Care Equipment,1986-10-31
MET,MetLife Inc.,Financials,Life & Health Insurance,
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,2017-07-26
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31
MMM,3M Company,Industrials,Industrial Conglomerates,1976-08-09
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28
MO,Altria Group Inc,Consumer Staples,Tobacco,1957-03-04
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,1991-05-01
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,2018-04-04
MSFT,Microsoft Corp.,Information Technology,Systems Software,1994-06-01
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,
MTB,M&T Bank Corp.,Financials,Regional Banks,2004-02-23
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,2018-12-03
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30
NEM,Newmont Corporation,Materials,Gold,1969-06-30
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,2010-12-20
NI,NiSource Inc.,Utilities,Multi-Utilities,
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30
NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,2005-03-14
NOW,ServiceNow,Information Technology,Systems Software,2019-11-21
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29
NSC,Norfolk Southern Corp.,Industrials,Railroads,1957-03-04
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,
NUE,Nucor Corp.,Materials,Steel,1985-04-30
NVDA,Nvidia Corporation,Information Technology,Semiconductors,2001-11-30
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30
NWS,News Corp. Class B,Communication Services,Publishing,2015-09-18
NWSA,News Corp. Class A,Communication Services,Publishing,2013-08-01
O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07
ODFL,Old Dominion Freight Line,Industrials,Trucking,2019-12-09
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010-03-15
OMC,Omnicom Group,Communication Services,Advertising,
ORCL,Oracle Corp.,Information Technology,Application Software,1989-08-31
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27
OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31
PAYC,Paycom,Information Technology,Application Software,2020-01-28
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,1980-12-31
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,2008-03-31
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,1957-03-04
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,1957-03-04
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,1957-03-04
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22
PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,1997-08-04
PH,Parker-Hannifin,Industrials,Industrial Machinery,1985-11-30
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26
PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31
PLD,Prologis,Real Estate,Industrial REITs,2003-07-17
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30
PNR,Pentair plc,Industrials,Industrial Machinery,2012-10-01
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04
PPL,PPL Corp.,Utilities,Electric Utilities,
PRGO,Perrigo,Health Care,Pharmaceuticals,2011-12-19
PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22
PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,2009-07-01
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05
RE,Everest Re Group Ltd.,Financials,Reinsurance,2017-06-19
REG,Regency Centers Corporation,Real Estate,Retail REITs,2017-03-02
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,2013-05-01
RF,Regions Financial Corp.,Financials,Regional Banks,1998-08-28
